,train_feature,fold,layer,condition,accuracy
394,syntactic,0,0,train,0.9910714285714286
395,syntactic,0,1,improbable,0.42857142857142855
396,syntactic,0,1,impossible,0.6428571428571429
397,syntactic,0,1,inconceivable,0.5714285714285714
398,syntactic,0,1,syntactic,1.0
399,syntactic,0,1,train,0.9910714285714286
400,syntactic,0,2,improbable,0.6071428571428571
401,syntactic,0,2,impossible,0.39285714285714285
402,syntactic,0,2,inconceivable,0.75
403,syntactic,0,2,syntactic,1.0
404,syntactic,0,2,train,0.9910714285714286
405,syntactic,0,3,improbable,0.5
406,syntactic,0,3,impossible,0.6785714285714286
407,syntactic,0,3,inconceivable,0.9642857142857143
408,syntactic,0,3,syntactic,1.0
409,syntactic,0,3,train,1.0
410,syntactic,0,4,improbable,0.5
411,syntactic,0,4,impossible,0.6428571428571429
412,syntactic,0,4,inconceivable,0.9285714285714286
413,syntactic,0,4,syntactic,1.0
414,syntactic,0,4,train,1.0
415,syntactic,0,5,improbable,0.4642857142857143
416,syntactic,0,5,impossible,0.7142857142857143
417,syntactic,0,5,inconceivable,0.9285714285714286
418,syntactic,0,5,syntactic,1.0
419,syntactic,0,5,train,1.0
420,syntactic,0,6,improbable,0.6071428571428571
421,syntactic,0,6,impossible,0.75
422,syntactic,0,6,inconceivable,0.9642857142857143
423,syntactic,0,6,syntactic,1.0
424,syntactic,0,6,train,1.0
425,syntactic,0,7,improbable,0.6071428571428571
426,syntactic,0,7,impossible,0.6428571428571429
427,syntactic,0,7,inconceivable,0.9285714285714286
428,syntactic,0,7,syntactic,1.0
429,syntactic,0,7,train,1.0
430,syntactic,0,8,improbable,0.32142857142857145
431,syntactic,0,8,impossible,0.6428571428571429
432,syntactic,0,8,inconceivable,0.9642857142857143
433,syntactic,0,8,syntactic,1.0
434,syntactic,0,8,train,1.0
435,syntactic,0,9,improbable,0.4642857142857143
436,syntactic,0,9,impossible,0.8214285714285714
437,syntactic,0,9,inconceivable,0.9642857142857143
438,syntactic,0,9,syntactic,1.0
439,syntactic,0,9,train,1.0
440,syntactic,0,10,improbable,0.6428571428571429
441,syntactic,0,10,impossible,0.6071428571428571
442,syntactic,0,10,inconceivable,0.9642857142857143
443,syntactic,0,10,syntactic,1.0
444,syntactic,0,10,train,1.0
445,syntactic,0,11,improbable,0.5714285714285714
446,syntactic,0,11,impossible,0.9642857142857143
447,syntactic,0,11,inconceivable,1.0
448,syntactic,0,11,syntactic,1.0
449,syntactic,0,11,train,1.0
450,syntactic,0,12,improbable,0.6071428571428571
451,syntactic,0,12,impossible,0.8928571428571429
452,syntactic,0,12,inconceivable,1.0
453,syntactic,0,12,syntactic,1.0
454,syntactic,0,12,train,1.0
455,syntactic,0,13,improbable,0.5357142857142857
456,syntactic,0,13,impossible,0.75
457,syntactic,0,13,inconceivable,1.0
458,syntactic,0,13,syntactic,1.0
459,syntactic,0,13,train,1.0
460,syntactic,0,14,improbable,0.6071428571428571
461,syntactic,0,14,impossible,0.8571428571428571
462,syntactic,0,14,inconceivable,1.0
463,syntactic,0,14,syntactic,1.0
464,syntactic,0,14,train,1.0
465,syntactic,0,15,improbable,0.6071428571428571
466,syntactic,0,15,impossible,0.5357142857142857
467,syntactic,0,15,inconceivable,0.8928571428571429
468,syntactic,0,15,syntactic,1.0
469,syntactic,0,15,train,1.0
470,syntactic,0,16,improbable,0.5357142857142857
471,syntactic,0,16,impossible,0.7142857142857143
472,syntactic,0,16,inconceivable,0.9285714285714286
473,syntactic,0,16,syntactic,1.0
474,syntactic,0,16,train,1.0
475,syntactic,0,17,improbable,0.6428571428571429
476,syntactic,0,17,impossible,0.7857142857142857
477,syntactic,0,17,inconceivable,0.9642857142857143
478,syntactic,0,17,syntactic,1.0
479,syntactic,0,17,train,1.0
480,syntactic,0,18,improbable,0.5357142857142857
